name,rating,reviews,company_type,Head_Quarters
John Deere,4.0,(4k),Industrial Machinery,Pune +154 other locations
RBL Bank,3.5,(4k),Banking,Mumbai +287 other locations
Cummins,4.3,(3.9k),Industrial Machinery,Pune +116 other locations
Publicis Sapient,3.3,(3.9k),IT Services & Consulting,Bengaluru +46 other locations
Bank of America,4.1,(3.9k),Banking,Gurugram +35 other locations
Pidilite Industries,4.2,(3.9k),Chemicals,Mumbai +319 other locations
Alembic Pharmaceuticals,3.9,(3.9k),Pharma,Vadodara +187 other locations
Oyo Rooms,3.0,(3.9k),Internet,Gurugram +121 other locations
Subros,3.8,(3.8k),Auto Components,Noida +89 other locations
American Express,4.1,(3.8k),Financial Services,Gurugram +53 other locations
Reliance Communications,4.0,(3.8k),Telecom,Mumbai +468 other locations
Carelon Global Solutions,3.9,(4.1k),IT Services & Consulting,Bengaluru +21 other locations
Aditya Birla Sun Life Insurance,4.0,(3.8k),Insurance,Mumbai +494 other locations
Grasim Industries,4.0,(3.8k),Building Material,Bharuch +247 other locations
XpressBees,4.2,(3.8k),Logistics,Pune +478 other locations
Altruist Technologies,4.4,(3.8k),BPO,Bengaluru +44 other locations
Kyndryl,4.0,(3.8k),IT Services & Consulting,Bengaluru +37 other locations
Automatic Data Processing (ADP),3.9,(3.8k),Software Product,Hyderabad +41 other locations
Viatris,4.1,(3.8k),Pharma,Hyderabad +80 other locations
PNB MetLife,3.3,(3.8k),Insurance,New Delhi +424 other locations
PVR INOX,3.9,(3.8k),Media & Entertainment,New Delhi +149 other locations
Aditya Birla Capital,3.8,(3.7k),NBFC,Mumbai +341 other locations
Escorts Kubota Limited,4.1,(3.7k),Automobile,Faridabad +157 other locations
Maersk,4.0,(3.7k),Logistics,Chennai +49 other locations
Synechron,3.4,(3.7k),IT Services & Consulting,Pune +32 other locations
KPIT Technologies,2.9,(3.7k),Software Product,Pune +43 other locations
Birlasoft,3.5,(3.7k),IT Services & Consulting,Pune +50 other locations
JK Cement,4.0,(3.7k),Building Material,New Delhi +331 other locations
Glenmark Pharmaceuticals,3.8,(3.6k),Pharma,Mumbai +186 other locations
Dabur,3.8,(3.6k),FMCG,New Delhi +321 other locations
Sodexo,4.0,(3.6k),Facility Management Services,Mumbai +159 other locations
Kotak Mahindra Life Insurance Company,3.5,(3.6k),Insurance,Mumbai +257 other locations
Cloudnine Hospital,4.4,(3.6k),Healthcare,Bengaluru +46 other locations
Bharat Electronics,4.2,(3.6k),Electronics Manufacturing,Bengaluru +87 other locations
Godrej & Boyce Manufacturing,3.9,(3.6k),Consumer Electronics & Appliances,Mumbai +166 other locations
Cogent E Services,3.1,(3.6k),BPO,Noida +56 other locations
Samvardhana Motherson Group,3.7,(3.6k),Auto Components,Noida +94 other locations
Abbott,4.1,(3.6k),Pharma,Mumbai +214 other locations
Ipca Laboratories,3.8,(3.6k),Pharma,Mumbai +161 other locations
Aarti Industries,4.1,(3.6k),Agro Chemicals,Bharuch +58 other locations
PhonePe,4.0,(3.5k),FinTech,Bengaluru +397 other locations
Reliance Projects & Property Management Services,4.0,(3.5k),Other,Kolkata +620 other locations
Indian Oil Corporation,4.3,(3.5k),Oil & Gas,New Delhi +314 other locations
Reliance Digital,4.2,(3.5k),Retail,Mumbai +379 other locations
MRF Tyres,3.6,(3.5k),Auto Components,Chennai +194 other locations
Alkem Laboratories,3.9,(3.5k),Pharma,Mumbai +200 other locations
Johnson Controls,3.5,(3.5k),Industrial Automation,Pune +57 other locations
IGT Solutions,3.2,(3.5k),BPO,New Delhi +47 other locations
UNO Minda,3.9,(3.5k),Auto Components,Pune +110 other locations
"NTT DATA, Inc.",3.9,(3.5k),IT Services & Consulting,Bengaluru +36 other locations
Honda Motorcycle & Scooter,4.1,(3.5k),Automobile,Gurugram +300 other locations
ArcelorMittal Nippon Steel,4.1,(3.4k),Iron & Steel,Surat +86 other locations
Blinkit,3.8,(3.4k),Internet,Gurugram +149 other locations
[24]7.ai,3.4,(3.4k),Software Product,Bengaluru +36 other locations
Vishal Mega Mart,3.7,(3.4k),Retail,New Delhi +378 other locations
Hindustan Coca Cola Beverages,4.0,(3.4k),Beverage,Bengaluru +262 other locations
UBS,3.8,(3.4k),Financial Services,Pune +19 other locations
DTDC Express,3.7,(3.4k),Logistics,New Delhi +271 other locations
IndusInd Nippon Life Insurance,3.4,(3.4k),Mumbai +488 other locations,
Bajaj General Insurance Limited,3.7,(3.4k),Insurance,Pune +303 other locations
Ford Motor,4.2,(3.4k),Automobile,Chennai +131 other locations
ABB,4.1,(3.3k),Industrial Machinery,Bengaluru +108 other locations
Ceat Tyres,3.9,(3.3k),Auto Components,Nagpur +142 other locations
Barclays,3.7,(3.3k),Banking,Pune +35 other locations
